Apprentissage,Catégorie,Date session,Décision,Exemples,Notes,Statut,Tags
Direction (collectif) vs dirigeant·e (individu),Politesse/registre,2025/11/14,"Pour l'écriture inclusive : utiliser 'la direction' (forme neutre) pour l'entité collective, et 'un·e dirigeant·e' (point médian) quand on parle d'une personne individuelle.","• La direction utilise les mêmes outils ✅ (entité collective)
• Un·e dirigeant·e demande un point ✅ (personne individuelle)
• Membre de votre équipe ✅ (toujours neutre)",Priorité SG : éviter le genre quand possible avec formes neutres. Point médian en dernier recours pour individus.,Actif,"Glossaire à MAJ, Récurrent"
Éviter répétitions lourdes en reformulant,Style et ton,2025/11/14,"Quand un terme clé crée une répétition lourde (ex: responsable/responsabilité), reformuler avec des synonymes ou restructurer la phrase.","• ❌ Attribuer un responsable crée une responsabilité pour...
• ✅ Attribuer un responsable clarifie qui prend en charge...
• ❌ Lorsque les dirigeants... vos dirigeants...
• ✅ Lorsque la direction... elle...","Priorité à la fluidité de lecture. Chercher des alternatives (garantit, clarifie, prend en charge, etc.)",Actif,Récurrent
Accord genre participe passé (avec nom masculin),Typographie,2025/11/17,"Vérifier systématiquement l'accord de genre des participes passés. Avec 'contenu' (masculin), utiliser 'exact' (masculin), pas 'exacte' (féminin).","• 'le contenu est exact' ✅
• ❌ 'le contenu est exacte'
• 'le document est complet' ✅
• ❌ 'le document est complète'
• 'la page est exacte' ✅ (féminin correct)",Erreur d'inattention fréquente. Toujours vérifier le genre du nom auquel le participe se rapporte. 'Contenu' = masculin.,Actif,Récurrent
guarantee vs ensure → assurer (pas garantir),Terminologie,2025/11/17,"Dans le contexte de gestion de contenu et qualité, préférer 'assurer' à 'garantir'. 'Garantir' est trop fort et implique une promesse absolue. 'Assurer' est plus approprié pour des processus de vérification et maintien de qualité.","• 'Owners can ensure clarity...' → 'Les personnes responsables peuvent assurer la clarté...' ✅
• ❌ 'garantir la communication'
• 'ensure content is accurate' → 'assurer que le contenu est exact' ✅",Nuance importante : 'garantir' = promesse forte/contractuelle vs 'assurer' = processus de vérification continue.,Actif,Récurrent
owner → personne responsable (pas propriétaire),Terminologie,2025/11/17,"Dans le contexte de gouvernance de contenu (content governance), 'owner' se traduit par 'personne responsable', jamais 'propriétaire'. La personne responsable assure la qualité, l'exactitude et la mise à jour du contenu.","• 'content owner' → 'personne responsable du contenu' ✅
• 'Add an owner' → 'Ajouter une personne responsable' ✅
• 'Owners can ensure...' → 'Les personnes responsables peuvent assurer...' ✅
• ❌ 'un propriétaire de contenu'
• ❌ 'les propriétaires'",Distinction avec 'owned' (documents) qui se traduit par 'avoir un responsable'. Cohérence avec le glossaire existant pour la gouvernance documentaire.,Actif,"Glossaire à MAJ, Récurrent"
Parallélisme structure - articles dans énumérations,Style et ton,2025/11/17,"Dans une énumération de noms abstraits, maintenir le parallélisme en répétant l'article défini pour chaque élément. Ne pas omettre l'article sur le dernier élément.","• 'l'exhaustivité, l'exactitude et la cohérence' ✅
• ❌ 'l'exhaustivité, l'exactitude et cohérence'
• 'la clarté, l'exactitude et la cohérence' ✅
• ❌ 'la clarté, exactitude et cohérence'",Règle de style français standard pour maintenir l'équilibre rythmique et la clarté. S'applique particulièrement aux concepts abstraits et qualités.,Actif,Récurrent
Type (verb UI) → Saisissez (pas Tapez),Contexte UI,2025/11/17,"Pour les instructions UI demandant de saisir du texte, 'Type' se traduit par 'Saisissez' (impératif), jamais 'Tapez'. Cohérence avec le Style Guide et les conventions Notion.","• 'Type @ to tag...' → 'Saisissez @ pour identifier...' ✅
• 'Type your message' → 'Saisissez votre message' ✅
• ❌ 'Tapez @ pour identifier'
• ❌ 'Taper votre message'",Déjà documenté dans Snippets : 'Enter → Saisissez'. 'Type' suit la même règle. Contexte : placeholder et instructions UI.,Actif,"Glossaire à MAJ, Récurrent"
Mode verbal après 'lorsque' - indicatif pas subjonctif,Style et ton,2025/11/17,"Après 'lorsque' (conjonction temporelle), utiliser l'indicatif, pas le subjonctif. Le subjonctif est réservé aux conjonctions exprimant le but, la concession, la condition hypothétique.","• 'lorsque le contenu est mis à jour' ✅
• ❌ 'lorsque le contenu soit mis à jour'
• 'lorsque vous cliquez sur le bouton' ✅
• ❌ 'lorsque vous cliquiez sur le bouton'","Erreur fréquente de surgénéralisation du subjonctif. 'Lorsque' = temps certain → indicatif. À distinguer de 'afin que', 'pour que', 'bien que' → subjonctif.",Actif,Récurrent
Possessif 'vos' vs article 'des' - ton engageant,Style et ton,2025/11/17,"Dans les contextes marketing/engageants (CTAs, invitations à l'action), préférer le possessif 'vos' à l'article indéfini 'des' pour créer un lien personnel avec l'utilisateur.","• 'Share feedback' → 'Partager vos commentaires' ✅ (engageant)
• ❌ 'Partager des commentaires' (neutre/distant)
• 'Share your ideas' → 'Partagez vos idées' ✅
• 'Add your notes' → 'Ajoutez vos notes' ✅",Distinction contextuelle : instructions techniques neutres = 'des' acceptable. Invitations à contribuer/partager = 'vos' préférable pour créer l'engagement.,Actif,Récurrent
Par exemple vs par ex. — préférer forme complète,Style et ton,2025/11/17,"Privilégier «°par exemple°» en entier plutôt que l'abréviation «°par ex.°» dans les contenus de formation, sauf si contrainte d'espace stricte.","• (par exemple°: Projets à Tâches) ✅
• (par ex.°: Projets à Tâches) ❌ (sauf si contrainte caractères)","Le Style Guide indique : «°Use abbreviations only if necessary (e.g. only if there is a character limit)°». Dans les helpdocs et formations, pas de limite stricte → préférer clarté.",Actif,Récurrent
Encadrés descriptifs helpdocs : infinitif (pas impératif),Contexte UI,2025/11/17,"Dans les encadrés descriptifs de cas d'usage (helpdocs), utiliser l'infinitif pour introduire des capacités, pas l'impératif. Ex: 'Agrégations : utiliser les agrégations pour...' (pas 'utilisez').","• 'Rollups: Use rollups to...' → 'Agrégations : utiliser les agrégations pour...' ✅
• ❌ 'Agrégations : utilisez les agrégations pour...'","Contexte : encadrés montrant des capacités/fonctionnalités, pas des instructions procédurales étape par étape.",Actif,Récurrent
Distinction majuscules/minuscules pour bases de données,Terminologie,2025/11/17,Minuscules en anglais = générique/descriptif → 'une base de données de projets'. Majuscules en anglais = nom propre spécifique → 'base de données Projets'.,"• 'Connect a projects database' → 'Connecter une base de données de projets' ✅
• 'Connect Projects database' → 'Connecter la base de données Projets' ✅
• 'tasks' vs 'Tasks' : même logique",Règle importante pour respecter l'intention de la source : générique vs spécifique.,Actif,Récurrent
Encadrés de leçon helpdocs : infinitif + impératif,Style et ton,2025/11/17,"Pour les encadrés de présentation de leçon (helpdocs/formations), utiliser : Titre en infinitif + Paragraphe à l'impératif. Exception rare : descriptions causales peuvent utiliser 3e personne descriptive si le lien logique est plus clair.","• Titre : 'Structurer votre espace de travail' (infinitif) ✅
• Paragraphe : 'Améliorez la découverte et le travail en équipe...' (impératif) ✅
• Titre : 'Définir des autorisations claires' (infinitif) ✅  
• Paragraphe : 'Décidez qui peut voir...' (impératif) ✅
• Exception : 'Le bon format crée un espace évolutif' (descriptif 3e pers. pour lien causal)","Structure validée après hésitation. L'impératif est la règle par défaut, plus direct et cohérent avec les traductions précédentes. La 3e personne descriptive est une exception rare pour clarifier des liens de cause à effet.",Actif,Récurrent
Three main teamspaces vs Team areas - Distinction terminologique,Terminologie,2025/11/17,"Pour éviter confusion entre les 3 catégories conceptuelles (Home/OS/Team areas) et la fonctionnalité Notion 'teamspace', traduire 'Three main teamspaces' par 'trois espaces principaux' (générique) tandis que 'Team areas' reste 'Espaces d'équipe' (spécifique).","• 'Core Design Principle: Three main teamspaces' → 'Principe d'architecture fondamental : trois espaces principaux' ✅
• '3. Team areas' → '3. Espaces d'équipe' ✅",,Actif,Glossaire à MAJ
implementation → mise en œuvre (pas implémentation),Terminologie,2025/11/17,'Implementation' est un anglicisme. Utiliser 'mise en œuvre' ou 'déploiement' selon le contexte. Jamais 'implémentation' en français professionnel.,"• workflow implementation → mise en œuvre des flux de travail
• de-risk an implementation → réduire les risques d'une mise en œuvre
• implementation challenges → défis de la mise en œuvre",,Actif,"Glossaire à MAJ, Récurrent"
tool sprawl → prolifération des outils,Terminologie,2025/11/17,'Tool sprawl' se traduit par 'prolifération des outils' - expression naturelle qui capture bien l'idée de multiplication incontrôlée.,• Tool sprawl was inflating IT costs → La prolifération des outils faisait grimper les coûts informatiques,,Actif,Glossaire à MAJ
Knowledge Check → Test de connaissances,Terminologie,2025/11/17,"Terme officiel du glossaire Notion pour les quiz de formation. Toujours utiliser 'Test de connaissances', pas 'Vérification'.",• Knowledge Check (menu item) → Test de connaissances,,Actif,"Glossaire à MAJ, Récurrent"
Lesson Overview → Aperçu de la leçon,Terminologie,2025/11/17,"Terme officiel du glossaire Notion pour les sections de cours. Toujours utiliser 'Aperçu de la leçon', pas 'Vue d'ensemble'.",• Lesson Overview (menu item) → Aperçu de la leçon,,Actif,"Glossaire à MAJ, Récurrent"
post-mortems → analyses post-incident,Terminologie,2025/11/17,"Dans un contexte technique/IT, 'post-mortems' se traduit par 'analyses post-incident' plutôt que de garder le terme anglais.","• Delayed post-mortems → analyses post-incident retardées
• security reviews and post-mortems → examens de sécurité et analyses post-incident",,Actif,Glossaire à MAJ
guest access → accès des invité·es,Terminologie,2025/11/17,"Le terme 'guest access' se traduit par 'accès des invité·es' (avec point médian) pour maintenir l'inclusivité. Au pluriel, utiliser 'les invité·es'. Au singulier, utiliser 'un·e invité·e'.","• Enable guest access → Activer l'accès des invité·es
• All guests → toutes les personnes invitées / tous les invité·es
• a guest → un·e invité·e",,Actif,"Glossaire à MAJ, Récurrent"
sales discovery → phase de découverte commerciale,Terminologie,2025/11/17,"Dans un contexte business/consulting, 'sales discovery' se traduit par 'phase de découverte commerciale' (plus naturel en français) plutôt que 'découverte des ventes' (traduction littérale peu élégante).","• During sales discovery → Au cours de la phase de découverte commerciale
• sales discovery process → processus de découverte commerciale",,Actif,Glossaire à MAJ
time to value → création de valeur (cohérence),Terminologie,2025/11/17,"Dans le contexte consulting Notion, 'time to value' se traduit systématiquement par 'création de valeur' pour cohérence, pas 'délai de rentabilité' ou 'temps de valorisation'.","• accelerates time to value → accélère la création de valeur
• faster time to value → création de valeur plus rapide
• their time to value → leur création de valeur",,Actif,"Glossaire à MAJ, Récurrent"
"Majuscule pour types de vues (Graphique, Formulaire)",Typographie,2025/11/18,Les types de vues Notion prennent une majuscule en français lorsqu'ils sont mentionnés comme noms de vue.,"• une vue Graphique ✅
• une vue graphique ❌
• une vue Formulaire ✅
• une vue de formulaire (descriptif) ✓","S'applique aux mentions de types de vues comme noms propres dans l'interface, pas aux descriptions génériques.",Actif,Récurrent
Get started (slide) = Débuter,Contexte UI,2025/11/18,"Pour un titre de slide de leçon, utiliser 'Débuter' plutôt que 'Commencer'.","• Get started (slide title) → Débuter ✅
• Get started (slide title) → Commencer ❌",Contexte: titres de slides dans les leçons Notion. 'Débuter' est plus formel et approprié pour un titre.,Actif,Récurrent
Issue tracker = suivi des tickets (Marketplace),Terminologie,2025/11/18,"Dans le contexte du Marketplace Notion, 'issue tracker' se traduit par 'suivi des tickets' (et non 'suivi des tâches'). Le template officiel s'appelle 'Suivi des tickets'.","• An issue tracker for any team → Un outil de suivi des tickets pour toute équipe ✅
• An issue tracker → Un outil de suivi des tâches ❌",Contexte: PO 1003509675 - Template Marketplace 'Issue tracker'. Terminologie cohérente avec le nom officiel du template.,Actif,"Glossaire à MAJ, Récurrent"
Move to chat = Déplacer dans la discussion par chat,Terminologie,2025/11/18,"""Move to chat"" (contexte IA) se traduit par ""Déplacer dans la discussion par chat"" pour cohérence avec TMs.","• Add to chat → Ajouter à la discussion par chat (TM)
• Move to chat → Déplacer dans la discussion par chat ✅","Basé sur TM ""Add to chat"" → ""Ajouter à la discussion par chat"". La cohérence terminologique est essentielle.",Actif,"Glossaire à MAJ, Récurrent"
Mapping file = fichier de correspondance (pas mappage),Terminologie,2025/11/18,"""Mapping file"" se traduit par ""fichier de correspondance"", pas ""fichier de mappage"" (anglicisme).","• Mapping file → fichier de correspondance ✅
• Mapping file → fichier de mappage ❌ (anglicisme)","""Correspondance"" est plus idiomatique en français dans le contexte d'import de données.",Actif,"Glossaire à MAJ, Récurrent"
Worker tool = terme technique non traduit,Terminologie,2025/11/18,"""Worker tool"" dans les workflows reste un terme technique non traduit, pas ""outil Travailleur"".","• Ran worker tool → A exécuté l'outil worker ✅
• Ran worker tool → A exécuté l'outil Travailleur ❌","Contexte : http://workflow.run.effect.workers.runTool. C'est un module technique d'automatisation, pas une personne.",Actif,Récurrent
Point médian inclusif pour accords de genre,Typographie,2025/11/18,Utiliser le point médian (·) pour l'écriture inclusive dans les contextes d'examen/formation certifiante.,"• certifié·e (pas seulement ""certifiée"")
• Prêt·e°? ✅
• certifié ❌",Découvert dans contexte Notion Services Specialist Exam. L'inclusivité via point médian est préférée à l'accord féminin seul.,Actif,Récurrent
Registre formel examens : aide-mémoire (pas antisèche),Politesse/registre,2025/11/18,"Dans les contextes d'examen certifiant professionnel, préférer ""aide-mémoire"" à ""antisèche"" (trop familier).","• Cheat sheets → aide-mémoire ✅
• Cheat sheets → antisèche ❌ (trop familier)","""Antisèche"" est compris mais inadapté au ton formel d'une certification professionnelle.",Actif,Récurrent
Concision messages UI : éviter verbiage inutile,Style et ton,2025/11/18,Supprimer les formulations verbeuses dans les messages UI. Préférer les constructions courtes et directes.,"• ""avec d'autres"" ✅ (pas ""avec d'autres personnes"")
• ""de collègues"" ✅ (pas ""de la part de collègues"")
• ""sans interruption"" ✅ (pas ""où rien ni personne ne risque de vous interrompre"")",La clarté et la concision sont prioritaires dans les messages UI.,Actif,Récurrent
Pas d'insécable après émoji en début de phrase,Typographie,2025/11/18,Les espaces insécables ne s'appliquent pas après les emojis en début de phrase. L'espace reste normal.,"• ❌ [espace normal] L'évaluation ✅
• ❌° L'évaluation ❌","Les insécables français s'appliquent aux ponctuations hautes, guillemets, symboles, mais pas aux emojis.",Actif,Récurrent
CTA = infinitif / Notification body = impératif,Contexte UI,2025/11/18,"Distinguer forme verbale selon le type d'élément UI : CTA/boutons utilisent l'infinitif, les notification bodies utilisent l'impératif.","• CTA : ""Commencer à travailler"" ✅
• Notification body : ""Résolvez les erreurs"" ✅","Les CTA sont des actions proposées (infinitif), les notifications sont des instructions directes (impératif).",Actif,Récurrent
Utilisateur : masculin par défaut si surcharge d'inclusif,Politesse/registre,2025/11/19,"Pour le terme ""utilisateur"", garder le masculin par défaut quand il y a déjà beaucoup d'écriture inclusive dans la phrase (éviter surcharge). Utiliser ""utilisateur·rices"" uniquement quand le contexte n'a pas trop d'inclusif.","Phrase avec beaucoup d'inclusif déjà → ""utilisateurs"" (masculin)
Phrase simple → ""utilisateur·rices"" possible si pertinent",Décision prise dans contexte PO 1003535109 (segment sur ajustement trimestriel avec multiple adjectifs inclusifs). Principe : privilégier la lisibilité et éviter la lourdeur quand plusieurs mots consécutifs prendraient le point médian.,Actif,Récurrent
Start/End pour slider UI : Début/Fin (noms) vs Commencer/Terminer (verbes),,2025/11/19,"Pour les éléments UI de type slider (curseur), ""Start/End"" se traduit par ""Début/Fin"" (noms de position) et non ""Commencer/Terminer"" (verbes d'action).","Slider de plage de dates : ""Début : 1er janvier"" / ""Fin : 31 décembre""
Curseur de volume : ""Début"" (min) / ""Fin"" (max)
Contexte technique : labelName:elements.slider.start","Commentaire anglais pour contexte externe : ""Start/End should be translated as Début/Fin (nouns) when referring to slider labels or range endpoints, not as Commencer/Terminer (verbs). The context here is a slider UI element which requires positional labels rather than action verbs.""",Actif,
Link expires → Expiration du lien,Terminologie,2025/11/19,"Dans les paramètres de partage de page, le menu déroulant 'Link expires' se traduit par 'Expiration du lien' (nom, pas forme verbale 'Le lien expire')",Open the dropdown next to Link expires → Ouvrez la liste déroulante à côté de Expiration du lien,"Standard dans les interfaces françaises (Microsoft, Google Drive). Nom approprié pour un label de menu déroulant UI.",Actif,Glossaire à MAJ
Accord inclusif dépend du nom principal,Typographie,2025/11/21,"Lorsqu'un adjectif ou participe s'accorde avec un nom masculin (ex: utilisateur, membre), l'accord reste masculin même si l'adjectif peut prendre une forme inclusive dans d'autres contextes.","✅ 47 utilisateurs invités (masculin car ""utilisateurs"" est masculin)
✅ Certain·es invité·es (inclusif car pas d'accord avec ""utilisateur"")
❌ 47 utilisateurs invité·es (incohérent)","La forme inclusive s'applique seulement quand le nom lui-même peut prendre l'inclusif (ex: invité·es). Si le nom principal est masculin standard (utilisateur), tout ce qui s'accorde avec reste masculin.",Actif,Récurrent
Aucun inclusif pour les mots en -eur,Style et ton,2025/11/21,"Les mots se terminant en -eur (utilisateur, collaborateur, gestionnaire, administrateur, etc.) ne prennent pas de forme inclusive selon le Style Guide Translated > Notion. Toujours utiliser la forme masculine standard.","✅ utilisateurs (pas utilisateur·rices)
✅ collaborateurs (pas collaborateur·rices)
✅ gestionnaire (pas gestionnaire·ère)
❌ utilisateur·rices
❌ collaborateur·rices",Règle confirmée par Audrey le 21 nov 2025. S'applique à tous les contextes Translated > Notion.,Actif,"Glossaire à MAJ, Récurrent"
"""Safeguards"" ≠ sécurité (trop général)",Terminologie,2025/11/21,"""Safeguards"" désigne des mesures de protection spécifiques mises en place, pas la sécurité de manière générale. Traduire de façon plus précise.","❌ weakening safeguards → compromettre la sécurité
✅ weakening safeguards → compromettre les mesures de protection
✅ weakening safeguards → affaiblir les garde-fous",,Actif,"Glossaire à MAJ, Récurrent"
"""Données analytiques"" → formulation lourde",Style et ton,2025/11/21,"""Analytics"" ne devrait pas être traduit par ""données analytiques"" (redondant et lourd). Préférer ""analytics"" directement ou ""analyse des données"" selon contexte.","❌ Vos données analytiques de contenu
✅ Vos analytics de contenu
✅ Vos analyses de contenu",,Actif,Récurrent
"""Informations sur les X"" → structure non idiomatique",Style et ton,2025/11/21,"En français business/tech, on utilise la forme directe sans préposition ""sur"" pour les informations liées à une catégorie.","❌ informations sur les clients → ✅ informations clients
❌ informations sur les produits → ✅ informations produits
❌ informations obsolètes sur les produits → ✅ informations produits obsolètes",,Actif,Récurrent
"""Scenario task"" → formulation non idiomatique",Terminologie,2025/11/21,"""Scenario task"" traduit littéralement par ""tâche de scénario"" ne sonne pas naturel en français. Utiliser des termes plus idiomatiques selon le contexte formation/évaluation.","❌ tâche de scénario
✅ exercice pratique
✅ cas pratique
✅ mise en situation (si vraiment un scénario narratif)",,Actif,Récurrent
"""Everyday users"" ≠ utilisateurs quotidiens",Terminologie,2025/11/21,"""Everyday users"" signifie ""utilisateurs réguliers/standards/ordinaires"" (par opposition aux utilisateurs techniques/développeurs), pas ""utilisateurs qui utilisent tous les jours"".","❌ everyday users → utilisateurs quotidiens
✅ everyday users → utilisateurs réguliers
✅ everyday users → utilisateurs standards
✅ everyday users → utilisateurs ordinaires","Erreur de traduction littérale fréquente. ""Everyday"" = ""ordinary/regular"", pas ""every day"".",Actif,"Glossaire à MAJ, Récurrent"
Incohérence impératif/infinitif dans suggestions,Style et ton,2025/11/21,"Lorsqu'une liste de points présente des suggestions d'actions (à l'infinitif), l'intro ne doit pas être à l'impératif pour maintenir la cohérence de registre.","❌ ""Cliquez ici pour découvrir l'approche suggérée"" + points à l'infinitif
✅ ""Découvrez l'approche suggérée"" ou ""Approche suggérée"" + points à l'infinitif

Les suggestions = infinitif (pas impératif)",,Actif,Récurrent
"""Attribuer des propriétaires"" → erreur de structure",Style et ton,2025/11/21,"""Assign owners"" ne se traduit pas par ""attribuer des propriétaires"" (structure incorrecte en français). On attribue quelque chose À des personnes, pas des personnes elles-mêmes.","❌ attribuer des propriétaires
✅ désigner des responsables
✅ assigner des responsables

""Assign owners and due dates"" → ""désigner des responsables et des dates d'échéance""",,Actif,Récurrent